"station","latitude","longitude","numDocks","timestamp","year","month","day","hour","weekday","weekhour","isHoliday","windMaxSpeed.m.s","windMeanSpeed.m.s","windDirection.grades","temperature.C","relHumidity.HR","airPressure.mb","precipitation.l.m2","bikes_3h_ago","full_profile_3h_diff_bikes","full_profile_bikes","short_profile_3h_diff_bikes","short_profile_bikes","bikes"
6,39.4711540975,-0.3768751015,27,1338501600,2012,6,1,0,"Friday",97,0,0.9,0.4,128,23.9,64,1011,0,NA,NA,NA,NA,NA,0
6,39.4711540975,-0.3768751015,27,1338505200,2012,6,1,1,"Friday",98,0,0.9,0.5,128,22.6,64,1011,0,NA,NA,NA,NA,NA,0
6,39.4711540975,-0.3768751015,27,1338508800,2012,6,1,2,"Friday",99,0,1,0.5,30,22,68,1011,0,NA,NA,NA,NA,NA,0
6,39.4711540975,-0.3768751015,27,1338512400,2012,6,1,3,"Friday",100,0,0.7,0.1,8,21.7,63,1010,0,0,NA,NA,NA,NA,0
6,39.4711540975,-0.3768751015,27,1338516000,2012,6,1,4,"Friday",101,0,0.7,0.1,3,21.2,64,1010,0,0,NA,NA,NA,NA,0
6,39.4711540975,-0.3768751015,27,1338519600,2012,6,1,5,"Friday",102,0,1.2,0.3,311,21.2,57,1010,0,0,NA,NA,NA,NA,0
6,39.4711540975,-0.3768751015,27,1338523200,2012,6,1,6,"Friday",103,0,1.5,0.3,313,21.7,53,1010,0,0,NA,NA,NA,NA,0
6,39.4711540975,-0.3768751015,27,1338526800,2012,6,1,7,"Friday",104,0,1.2,0.2,286,23.3,48,1010,0,0,NA,NA,NA,NA,7
6,39.4711540975,-0.3768751015,27,1338530400,2012,6,1,8,"Friday",105,0,1.7,0.1,284,25.4,42,1010,0,0,NA,NA,NA,NA,17
6,39.4711540975,-0.3768751015,27,1338534000,2012,6,1,9,"Friday",106,0,1.8,0.4,250,27.3,36,1009,0,0,NA,NA,NA,NA,17
6,39.4711540975,-0.3768751015,27,1338537600,2012,6,1,10,"Friday",107,0,5.1,2.7,144,25.5,47,1009,0,7,NA,NA,NA,NA,27
6,39.4711540975,-0.3768751015,27,1338541200,2012,6,1,11,"Friday",108,0,6.2,3.5,147,25.9,44,1009,0,17,NA,NA,NA,NA,27
6,39.4711540975,-0.3768751015,27,1338544800,2012,6,1,12,"Friday",109,0,6.6,3.5,147,25.1,52,1009,0,17,NA,NA,NA,NA,27
6,39.4711540975,-0.3768751015,27,1338548400,2012,6,1,13,"Friday",110,0,7.2,3.7,152,26,45,1008,0,27,NA,NA,NA,NA,27
6,39.4711540975,-0.3768751015,27,1338552000,2012,6,1,14,"Friday",111,0,9.8,4.7,150,26.5,40,1008,0,27,NA,NA,NA,NA,27
6,39.4711540975,-0.3768751015,27,1338555600,2012,6,1,15,"Friday",112,0,12.9,6.5,149,25.5,47,1007,0,27,NA,NA,NA,NA,27
6,39.4711540975,-0.3768751015,27,1338559200,2012,6,1,16,"Friday",113,0,13,6.2,147,25,53,1007,0,27,NA,NA,NA,NA,27
6,39.4711540975,-0.3768751015,27,1338562800,2012,6,1,17,"Friday",114,0,7.3,3.5,91,24.8,58,1007,0,27,NA,NA,NA,NA,27
6,39.4711540975,-0.3768751015,27,1338566400,2012,6,1,18,"Friday",115,0,5.6,3,44,23.8,63,1007,0,27,NA,NA,NA,NA,27
6,39.4711540975,-0.3768751015,27,1338570000,2012,6,1,19,"Friday",116,0,7.4,3.6,42,23.9,62,1007,0,27,NA,NA,NA,NA,27
6,39.4711540975,-0.3768751015,27,1338573600,2012,6,1,20,"Friday",117,0,7.4,3.8,41,23.4,67,1007,0,27,NA,NA,NA,NA,27
6,39.4711540975,-0.3768751015,27,1338577200,2012,6,1,21,"Friday",118,0,6.8,3.2,40,23.4,65,1007,0,27,NA,NA,NA,NA,27
6,39.4711540975,-0.3768751015,27,1338580800,2012,6,1,22,"Friday",119,0,5.7,2.8,48,23.3,67,1007,0,27,NA,NA,NA,NA,27
6,39.4711540975,-0.3768751015,27,1338584400,2012,6,1,23,"Friday",120,0,5.2,2.6,41,23,69,1008,0,27,NA,NA,NA,NA,27
6,39.4711540975,-0.3768751015,27,1338588000,2012,6,2,0,"Saturday",121,0,5.1,2.3,47,22.8,69,1008,0,27,NA,NA,NA,NA,27
6,39.4711540975,-0.3768751015,27,1338591600,2012,6,2,1,"Saturday",122,0,2.8,1,15,22.5,67,1007,0,27,NA,NA,NA,NA,27
