"station","latitude","longitude","numDocks","timestamp","year","month","day","hour","weekday","weekhour","isHoliday","windMaxSpeed.m.s","windMeanSpeed.m.s","windDirection.grades","temperature.C","relHumidity.HR","airPressure.mb","precipitation.l.m2","bikes_3h_ago","full_profile_3h_diff_bikes","full_profile_bikes","short_profile_3h_diff_bikes","short_profile_bikes","bikes"
7,39.4711940985,-0.3740990932,20,1398895200,2014,5,1,0,"Thursday",73,1,0.6,0.1,360,18.7,58,1003,0,5,-0.597938144329897,1.07142857142857,-1.25,0,0
7,39.4711940985,-0.3740990932,20,1398898800,2014,5,1,1,"Thursday",74,1,1.5,0.4,320,18.3,57,1003,0,2,-0.540816326530612,0.908163265306122,0,0,0
7,39.4711940985,-0.3740990932,20,1398902400,2014,5,1,2,"Thursday",75,1,3.7,1.7,317,17.8,57,1003,0,3,-0.36734693877551,0.775510204081633,0,0,0
7,39.4711940985,-0.3740990932,20,1398906000,2014,5,1,3,"Thursday",76,1,5,2.5,322,17.4,56,1003,0,0,-0.326530612244898,0.744897959183674,0,0,0
7,39.4711940985,-0.3740990932,20,1398909600,2014,5,1,4,"Thursday",77,1,5.5,3.1,323,17.5,56,1002,0,0,-0.163265306122449,0.744897959183674,0,0,0
7,39.4711940985,-0.3740990932,20,1398913200,2014,5,1,5,"Thursday",78,1,6.1,3.1,321,17.3,56,1002,0,0,-0.0510204081632653,0.724489795918367,0,0,0
7,39.4711940985,-0.3740990932,20,1398916800,2014,5,1,6,"Thursday",79,1,5.2,3.1,322,17.1,55,1002,0,0,0.979591836734694,1.72448979591837,0.75,0.75,0
7,39.4711940985,-0.3740990932,20,1398920400,2014,5,1,7,"Thursday",80,1,6.2,3.4,319,17,55,1002,0,0,1.8469387755102,2.59183673469388,2.5,2.5,0
7,39.4711940985,-0.3740990932,20,1398924000,2014,5,1,8,"Thursday",81,1,5.8,2.6,320,17.3,55,1003,0,0,7.47422680412371,8.20618556701031,5.75,5.75,0
7,39.4711940985,-0.3740990932,20,1398927600,2014,5,1,9,"Thursday",82,1,1.8,0.3,322,20.1,47,1004,0,0,10.979381443299,12.7010309278351,11,11.75,0
7,39.4711940985,-0.3740990932,20,1398931200,2014,5,1,10,"Thursday",83,1,1,0.3,156,23.3,37,1003,0,0,11.2783505154639,13.8659793814433,10.75,13.25,1
7,39.4711940985,-0.3740990932,20,1398934800,2014,5,1,11,"Thursday",84,1,4.3,1.3,146,24,34,1003,0,0,6.11340206185567,14.319587628866,7.5,13.25,1
7,39.4711940985,-0.3740990932,20,1398938400,2014,5,1,12,"Thursday",85,1,7,2.7,129,23.4,36,1003,0,0,1.52577319587629,14.2857142857143,2.75,14.5,1
