"station","latitude","longitude","numDocks","timestamp","year","month","day","hour","weekday","weekhour","isHoliday","windMaxSpeed.m.s","windMeanSpeed.m.s","windDirection.grades","temperature.C","relHumidity.HR","airPressure.mb","precipitation.l.m2","bikes_3h_ago","full_profile_3h_diff_bikes","full_profile_bikes","short_profile_3h_diff_bikes","short_profile_bikes","bikes"
8,39.4700600958,-0.3705240819,20,1398895200,2014,5,1,0,"Thursday",73,1,0.6,0.1,360,18.7,58,1003,0,3,-1.32989690721649,0.785714285714286,-1.5,0.25,2
8,39.4700600958,-0.3705240819,20,1398898800,2014,5,1,1,"Thursday",74,1,1.5,0.4,320,18.3,57,1003,0,0,-0.520408163265306,0.561224489795918,-0.75,0,0
8,39.4700600958,-0.3705240819,20,1398902400,2014,5,1,2,"Thursday",75,1,3.7,1.7,317,17.8,57,1003,0,3,-0.5,0.438775510204082,-0.25,0,0
8,39.4700600958,-0.3705240819,20,1398906000,2014,5,1,3,"Thursday",76,1,5,2.5,322,17.4,56,1003,0,2,-0.295918367346939,0.489795918367347,0,0.25,0
8,39.4700600958,-0.3705240819,20,1398909600,2014,5,1,4,"Thursday",77,1,5.5,3.1,323,17.5,56,1002,0,0,-0.0408163265306122,0.520408163265306,0.25,0.25,0
8,39.4700600958,-0.3705240819,20,1398913200,2014,5,1,5,"Thursday",78,1,6.1,3.1,321,17.3,56,1002,0,0,0.673469387755102,1.11224489795918,0.25,0.25,0
8,39.4700600958,-0.3705240819,20,1398916800,2014,5,1,6,"Thursday",79,1,5.2,3.1,322,17.1,55,1002,0,0,1.31632653061224,1.80612244897959,1.25,1.5,0
8,39.4700600958,-0.3705240819,20,1398920400,2014,5,1,7,"Thursday",80,1,6.2,3.4,319,17,55,1002,0,0,3.54081632653061,4.06122448979592,3.75,4,0
8,39.4700600958,-0.3705240819,20,1398924000,2014,5,1,8,"Thursday",81,1,5.8,2.6,320,17.3,55,1003,0,0,8.56701030927835,9.68041237113402,11,11.25,0
8,39.4700600958,-0.3705240819,20,1398927600,2014,5,1,9,"Thursday",82,1,1.8,0.3,322,20.1,47,1004,0,0,11.8453608247423,13.6701030927835,15.25,16.75,3
8,39.4700600958,-0.3705240819,20,1398931200,2014,5,1,10,"Thursday",83,1,1,0.3,156,23.3,37,1003,0,0,10.7216494845361,14.8041237113402,14,18,7
